,Headline,Human-generated text from news article,News article source,Machine-generated text for same headline,Source/Model for machine-generated text
19,Trump Administration Promise to Focus on Extremism Remains Unfulfilled,"WASHINGTON — The Department of Homeland Security started an effort a year ago this month to address domestic terrorism, white nationalist threats and other acts of homegrown violence, a major shift for an agency created after the Sept. 11, 2001, attacks to protect the country from foreign terrorism.Today the plan to carry out that new mission remains stalled in a bureaucratic morass as clashes between protesters and counterprotesters have escalated to precisely the violent acts that the plan was supposed to address.Instead, a new crop of Department of Homeland Security leaders, led by the confrontational acting secretary, Chad F. Wolf, appear to be doing the opposite of what had been promised. Far from cooperating with local governments and citizens to combat domestic unrest, particularly from the far right, they have joined President Trump in lashing out at American mayors and governors while deploying federal tactical teams to cities — often expressly against the wishes of the local governments with which they had pledged to cooperate.On Monday night on Fox News, Mr. Wolf said he spoke with Attorney General William P. Barr about arresting leaders of the Black Lives Matter movement.",https://nytimes.com/2020/09/01/us/politics/trump-homeland-security-extremism.html?searchResultPosition=19,"Trump Administration Promise to Focus on Extremism Remains Unfulfilled""

The White House has promised to focus on ""radical Islamic terrorism"" in the wake of the Paris attacks, according to a senior administration official, who spoke on the condition of anonymity because he was not authorized to discuss the matter publicly. The official said the administration has not yet made a final decision on whether to include the threat of terrorism in its national security strategy, but said it is ""very likely"" that the president will make a decision by the end of this month. ""We're going to make sure that we're doing everything we can to keep our country safe,"" the official told The Daily Caller News Foundation in a phone interview. He declined to provide further details about the plan, saying only that ""we're working on it right now."" ""It's very likely that it will take some time before we get to the bottom of it,"" he said, adding, ""I don't know if we'll be able to get it done in time for the holidays."" The administration is also expected to announce a new strategy for countering the Islamic State in Iraq and the Levant (ISIL), a group that has claimed responsibility for a series of deadly attacks across the Middle East and North Africa in recent months, including a deadly attack in Paris last week that left 130 people dead. In a statement, the Obama administration pledged to ""strengthen our counterterrorism efforts to counter ISIL and other terrorist groups that threaten the United States, our allies, and our partners around the world."" It also called on U.S. and coalition partners to work together to fight ISIL, which has been designated a terrorist organization by Congress and has killed more than 100 people in Syria, Iraq, Libya, Yemen, Somalia, Sudan, Syria and Yemen. It has also been accused of using chemical weapons against its own people, as well as the use of cluster bombs and cluster munitions against civilian populations in Yemen and elsewhere. On Monday, President Barack Obama announced that he had ordered a review of how the Department of Homeland Security (DHS) is conducting its counterterrorism operations in response to terrorist attacks. DHS officials have said that they are working with local law enforcement agencies to identify and investigate potential terrorist threats. But they have not provided details on how they plan to do so. A DHS spokesman said in an e-mailed statement that DHS ""is committed to ensuring that all federal, state, local, tribal and tribal governments have the tools and resources they need to protect themselves and their communities from threats to their safety and security."" He did not say how many federal and state agencies would be involved in such an effort, though he did say that federal agencies ""will continue to cooperate with the federal government to ensure the safety of our citizens and communities."" In an interview with TheDCNF on Tuesday, DHS Secretary Jeh Johnson said he has ""no plans"" to expand the number of federal agents who will be deployed to combat ISIL. Johnson also said his department is working to develop a plan for how to deal with potential terrorists who may pose a threat to public safety, such as those who travel to Syria or Iraq to carry out attacks on American soil. However, he added that there are no plans to increase the size of DHS's counter-terrorism team, or to add more agents to its existing team of about 40,000, to address the growing threat posed by radical Islamic terrorists.",Huggingface
20,Barr Imposes Limits on F.B.I. Surveillance of Political Candidates,"WASHINGTON — Attorney General William P. Barr issued two memos on Tuesday restricting the F.B.I.’s ability to surveil political candidates and their aides, a response to the bureau’s flawed monitoring of a former Trump campaign adviser that President Trump has long falsely promoted as evidence of a plot to spy on his campaign.Mr. Barr said that the Justice Department and the F.B.I. must consider warning elected officials, political candidates or any of their staff members or advisers that they may be the targets of foreign governments before asking the Foreign Intelligence Surveillance Court for a warrant to secretly monitor their communications, according to a memo that he distributed to top law enforcement officials.If no warning is given, the director of the F.B.I. must explain why in writing.In the second memo, Mr. Barr created a new office at the F.B.I. called the Office of Internal Auditing that will be tasked with auditing the bureau’s national security investigations.“A robust internal compliance program is critical to ensure faithful compliance with the laws, policies and procedures that govern agency activities,” Mr. Barr wrote.",https://nytimes.com/2020/09/01/us/politics/barr-elections-fbi-surveillance.html?searchResultPosition=20,"Barr Imposes Limits on F.B.I. Surveillance of Political Candidates

A federal judge has ordered the FBI and the Justice Department to turn over documents related to the investigation into Hillary Clinton's use of a private email server during her time as secretary of state, according to a report in The New York Times. The documents, which were obtained by The Washington Post, show that FBI Director James B. Comey had asked for the documents to be turned over to Congress, but was told that the request would not be granted. In a letter to Attorney General Loretta E. Lynch, Comey wrote that he had ""no reason"" to believe that Clinton had violated the law by using a personal email account while she served as Secretary of State. ""I have no reason to think that she has violated any law,"" he wrote, ""and I do not believe there is any basis in law to conclude that there was any violation of any of the laws of this country."" Comey's letter also said that ""there is no basis whatsoever for concluding that Mrs. Clinton did not violate any laws."" The FBI has not yet responded to The Times' request for comment.",Huggingface
21,"Trump Visits Kenosha, Offering Support for Police With Little Mention of Shooting","KENOSHA, Wis. — President Trump ventured into ground zero of the nation’s roiling debate over race and justice on Tuesday to stand in defense of the police and to reject calls for changes in law enforcement that have generated months of social unrest across the United States.Traveling to Kenosha, Wis., over the objections of the governor and mayor who feared his presence would further inflame tensions, Mr. Trump offered support to law enforcement officers and toured shops damaged by rioting that followed last week’s shooting of Jacob Blake, a Black man who was struck seven times in the back by a white police officer.Mr. Trump never mentioned Mr. Blake’s name nor spoke with his family, brushing past the shooting and calling attention instead to the street violence that he blamed on liberal politicians. He expressed more empathy for police officers, saying that they have a “tough job” and that occasionally some simply “choke” when put under “tremendous pressure” in carrying out their duties.“It’s a dangerous job,” Mr. Trump told several law enforcement officials and Republican politicians at a high school in Kenosha. “But I have to say this to the police: The people of our country love you.”",https://nytimes.com/2020/09/01/us/politics/trump-conspiracy-theory-thugs-plane.html?searchResultPosition=21,"Trump Visits Kenosha, Offering Support for Police With Little Mention of Shooting Victims

In an interview with the Milwaukee Journal Sentinel on Monday, Milwaukee Police Chief Edward Flynn said he has received a number of calls from people who say they have been shot and killed by police officers in the past few months. Flynn also said that he is aware of at least one person who has been killed or injured by a police officer, and that the department is working with local law enforcement agencies to find a way to address the issue.
.@ChiefEdwardFlynn: ""I have received calls and emails from folks who are saying that they are being shot by officers. I have not received any of those calls."" pic.twitter.com/QJ4J5XJ6YJ — Milwaukee News Sentinel (@MilwaukeeNews) May 24, 2017
 (Photo: Milwaukee County Sheriff's Office)
:@Milk CountySheriff's office says it is investigating the shooting of a man who was shot in front of his home. He was taken to a local hospital where he was pronounced dead. https://t.co/WzR5JlYqY4 — WISN 11 News (@WisN11) June 25, 2016



Read or Share this story: http://on.jsonl.in/2nYfVqF",Huggingface
22,A Long History of Language That Incites and Demonizes,"WASHINGTON — President Trump has seized on the response in the streets to police brutality against Black men and women to bolster his re-election campaign, employing provocative and sometimes incendiary language and images to incite his followers, demonize his opponents or both.He has sought to conflate all protesters with the small minority of people who have looted stores, started fires and engaged in violence against police officers. He has blamed street unrest on Democratic mayors and governors and even former Vice President Joseph R. Biden Jr., his fall challenger.He has also repeatedly threatened to deploy federal forces. And especially since a man affiliated with a right-wing group was shot and killed in Portland, Ore., on Saturday night, he has seemed to encourage freelance action by his own supporters who have showed up as well in places like Kenosha, Wis., eager to counter the protesters and sometimes engaging in violence themselves.Mr. Trump’s approach, intended to divert attention from the human and economic costs of the pandemic, is consistent with a career of combative politics that play to racial animosities, going back to his time in business.",https://nytimes.com/2020/08/31/us/politics/trump-police-protests.html?searchResultPosition=22,"A Long History of Language That Incites and Demonizes Racism

In a recent article in the American Journal of Sociology, a group of sociologists at the University of California, Berkeley, wrote about the history of racism in American society. The article was titled, ""Racism in America: A History,"" and was published in The American Sociological Review. In the article, the authors write: ""In the United States, as in other parts of the world, there has been a marked increase in racial and ethnic prejudice against blacks and other minorities, and in some cases, against whites."" The authors conclude that ""racial prejudice has become a pervasive feature of American life in recent decades, particularly among young people, who are more likely than other Americans to identify as black, Hispanic, Asian, or Pacific Islander."" In other words, they write, racial prejudice is a ""historical phenomenon"" that can be traced back to the early 20th century. They also note that there is no evidence that racism has changed in any significant way since the 1950s, when the term ""racism"" was first coined. However, it is important to remember that this is not the first time that people have used the terms ""racist"" or ""white supremacist"" to describe people of different races or ethnicities. For example, in an article published by the New York Times in 2005, Richard Spencer, an American neo-Nazi and white supremacist, called for the removal of all white people from the U.S. because of their race or ethnicity. Spencer was also a member of a racist group called the ""alt-right,"" which is an offshoot of white nationalist groups such as the Ku Klux Klan and the Traditionalist Worker Party (TWP). In an interview with The Daily Stormer, Spencer said that he was ""very proud"" of what he called ""the white supremacists"" and that they ""are the only people who have the courage to stand up and say, 'Enough is enough.' "" He added that his group is ""not racist, but it's not racist to say that we're racist. We're not racists to be honest with you."" Spencer's comments were made in response to a question about whether or not he would be willing to support a bill that would ban the use of racial epithets in public places. ""I'm not going to do that,"" he said. He went on to explain that if he were to vote for it, he wouldn't support it because it would violate his First Amendment rights to free speech and freedom of religion. As a result of his comments, many people are now calling for him to step down from his position as a professor of sociology at UC Berkeley.",Huggingface
23,Shift on Election Briefings Could Create an Information Gap for Voters,"The decision by the nation’s top intelligence official to halt classified, in-person briefings to Congress about foreign interference in a presidential election that is just nine weeks away exposes the fundamental tension about who needs to know this information: just the president, or the voters whose election infrastructure, and minds, are the target of the hacking?The intelligence agencies are built to funnel a stream of secret findings to the president, his staff and the military to inform their actions.President Trump has made it abundantly clear that he does not believe the overwhelming evidence, detailed in thousands of pages of investigative reports by the Republican-led Senate Intelligence Committee and indictments of Russian intelligence officers by his own Justice Department, that Moscow interfered in the 2016 election, and is at it again.One of the bitter lessons of the last election is that intelligence about hacking into voter registration systems and the spreading of disinformation must be handled in a very different way. Those defending against misinformation include state and city election officials; Facebook, Twitter and Google; and voters themselves, who need to know who is generating or amplifying the messages they see running across their screens.",https://nytimes.com/2020/08/30/us/politics/2020-election-security-briefings.html?searchResultPosition=23,"Shift on Election Briefings Could Create an Information Gap for Voters

Enlarge this image toggle caption Andrew Harrer/Getty Images Andrew Harnik/AP Andrew Linsley/Associated Press/Reuters/Landov Andrew J. Puskar/Bloomberg via Getty Images/File Photo Andrew P. Napolitano/The New York Times/Library of Congress/Handout via Bloomberg via Associated Press via Reuters via REUTERS/Brendan McDermid Andrew R. Kelly/Pool via AP Andrew S. Williamson/European Pressphoto Agency/Corbis Andrew T. Smith/AFP/ GettyImages Andrew W. Loomis/EPA/Shutterstock Andrew Zimring/CQ Roll Call Andrew C. McCarthy/WireImage Andrew D. Reichert/J. Scott Applewhite/Globe Staff Andrew E. O'Connell/USA TODAY Creative Commons/Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License Share this story: http://usat.ly/1hXgX3u Andrew M. Schoenfeld/National Security Archive/Wikimedia Commons (CC BY-NC-ND 2.5) (http://creativecommons.org/licenses/by-nc-nd/2.05.html)",Huggingface
24,"Ricin Suspect Threatened to Kill Trump Over Re-election Campaign, Prosecutors Say","A Canadian woman who was arrested on suspicion of mailing the lethal substance ricin to the White House wanted President Trump to drop out of the presidential race and pledged to find other ways to assassinate him if her poisoning plot failed, according to court documents unsealed on Tuesday.The woman, Pascale Cecile Veronique Ferrier, has been charged by the Justice Department with threatening to kill the president. A federal judge entered a not guilty plea for Ms. Ferrier in a brief appearance on Tuesday at the federal courthouse in Buffalo.Ms. Ferrier wrote in a threatening and scornful letter sent with the ricin that she believed Mr. Trump was a dictator who was hurting the United States.“I found a new name for you: ‘The Ugly Tyrant Clown’ I hope you like it,” she wrote. “You ruin USA and lead them to disaster. I have US cousins, then I don’t want the next 4 years with you as president. Give up and remove your application for this election.”",https://nytimes.com/2020/09/22/us/politics/ricin-trump.html?searchResultPosition=5,"Ricin Suspect Threatened to Kill Trump Over Re-election Campaign, Prosecutors Say

WASHINGTON (Reuters) - U.S. District Judge James Robart on Friday ordered the Justice Department to investigate whether the Trump campaign colluded with Russia to influence the 2016 presidential election to help Donald Trump win the White House, a move that could lead to criminal charges against the former reality TV star and his associates, according to a person familiar with the matter. The person, who spoke on condition of anonymity because he was not authorized to speak publicly about the case, said the decision was based on a review of the FBI's investigation into possible coordination between the campaign and Russian officials. ""This is not the first time this has happened,"" the person said, referring to an earlier decision by the Obama administration to shut down an FBI probe into Russian meddling in last year's presidential campaign. Robarts said in his order that the investigation would focus on whether there was a ""pattern or practice"" of campaign-related interference in the election, which he called ""extremely troubling."" The FBI has been conducting its own investigation of possible collusion between Russia and Trump's campaign, but it has not been able to find any evidence of collusion, he said. Trump has said he will not seek a pardon for former FBI Director James Comey, and he has called for a special prosecutor to look into the Russia probe. In a statement, Trump said: ""I have no doubt that this is a very serious matter and I will do everything in my power to make sure that it never happens again. I have been very clear about my commitment to the rule of law and will continue to do so."" He added that he had ""no doubt"" that Russia was behind the hacking of Democratic National Committee emails and the release of damaging information about Hillary Clinton's use of a private email server during her time as secretary of state. He also said that his administration had been ""very cooperative"" with Russian President Vladimir Putin on the issue of sanctions against Russia over its annexation of Crimea and its support for separatists in eastern Ukraine. Russia has denied any involvement in hacking the Democratic Party and has accused the United States of interfering in Ukraine's internal affairs. Russian Foreign Minister Sergei Lavrov said on Thursday that Moscow was ""deeply concerned"" about what Trump had to say about Russia's election meddling and said it would be ""disgusting"" if the president did not condemn the Russian government for its actions. A senior administration official told Reuters on Wednesday that Trump would not make a formal statement about his decision to withdraw from the Paris climate accord, the world's most important climate agreement, until after he is sworn in as president on Jan. 20. It is unclear whether Trump will make such an announcement before the end of his first term in office, when he takes office in January. On Thursday, Russian state-run news agency RIA Novosti reported that a senior Trump adviser, Jared Kushner, had met with a top Russian diplomat to discuss a possible meeting between Trump and Putin in Moscow in December. That meeting was reported to have taken place at Trump Tower in New York, where Trump was staying. Kushner and other Trump advisers have said they had no knowledge of any such meeting, though they have denied that they discussed it with anyone other than their son-in-law and senior adviser.",Huggingface
25,"In Latest Legal Rebuke, Court Orders Postal Service to Prioritize Mail-In Voting","WASHINGTON — A federal judge in New York on Monday ordered the Postal Service to reverse operational changes that have slowed mail delivery in recent months and to prioritize election mail, the latest legal rebuke to Louis DeJoy’s management of the agency.By Friday, Judge Victor Marrero said in his ruling, the Postal Service must begin treating all election mail, including ballots, as first-class or priority mail; preapprove all overtime requested from Oct. 26 to Nov. 6, the peak times for election mail; and submit a plan to restore on-time delivery of mail to its highest level this year.“The right to vote is too vital a value in our democracy to be left in a state of suspense in the minds of voters weeks before a presidential election, raising doubts as to whether their votes will ultimately be counted,” Judge Marrero said.The order came in response to a lawsuit that mail-in voters from six states brought against President Trump and Mr. DeJoy, the postmaster general. The suit, filed in Federal District Court in Manhattan, sought to block cuts that Mr. DeJoy had put in place just months before the election in November.",https://nytimes.com/2020/09/21/us/politics/postal-service-mail-in-voting.html?searchResultPosition=6,"In Latest Legal Rebuke, Court Orders Postal Service to Prioritize Mail-In Voting

WASHINGTON — The U.S. Court of Appeals for the D.C. Circuit on Monday struck down a key provision of the Voting Rights Act that would have allowed states to block mail-in voting. The court's decision is the latest in a series of legal challenges to the Obama administration's voter ID law, which was signed into law by President George W. Bush in 2003 as part of a broader effort to combat voter fraud.


The court ruled that the law was unconstitutional because it did not apply to people who were not registered to vote. It also found that it violated the Fourteenth Amendment's guarantee of equal protection under the laws and the Due Process Clause's guarantees of due process and equal access to legal counsel. In its decision, the court said it was ""unlikely"" that a state would be able to deny a voter registration to a person who is not a citizen, even if the person's name and address were on the voter's birth certificate, or if he or she had been born in the United States illegally and was not eligible for citizenship. ""The Court's ruling is an important step forward in our fight to ensure that all Americans have the same opportunity to cast a ballot,"" said Justice Sonia Sotomayor, who was joined by Justices Antonin Scalia, Clarence Thomas, Samuel Alito, and Elena Kagan.",Huggingface
26,The Unmasked Ball: Trump Creates His Own Pandemic-Free Reality,"Donald J. Trump could not truthfully appear at the Republican National Convention as a president who got America safely through the Covid-19 pandemic.But he could play one on TV.Thursday night, Mr. Trump slowly walked down the steps of the White House with his wife, Melania, just he as came down the escalator of Trump Tower in 2015 — treating it, in much the same way, like his personal property. He walked to a campaign lectern with a presidential seal and looked out on a crowd of faces. Unmasked faces.Denied a traditional convention in a Charlotte hall, he created his own at home. And denied a reality in which the virus had faded away the way he said it would in its early days, he created that too, by stage-directing it.Mr. Trump’s 70-minute renomination speech dwelled, for a few minutes here and there, on the pandemic and his administration’s response. But its setting, like much of his convention, told a simpler story visually: That the coronavirus didn’t exist, or at least was no big deal.",https://nytimes.com/2020/08/28/arts/television/trump-speech-pandemic.html?searchResultPosition=27,"The Unmasked Ball: Trump Creates His Own Pandemic-Free Reality Show

Enlarge this image toggle caption Chip Somodevilla/Getty Images Chip Sylvester / Getty Images 1 of / 1",Huggingface
27,The 2020 Party Conventions Gave New Meaning to Political Theater,"The largely virtual format of the Republican and Democratic national conventions meant that even more than usual, the messages were embedded within the visual presentation. Here Vanessa Friedman, the chief fashion critic for The New York Times, and James Poniewozik, the chief television critic, discuss what they saw and what it all meant.VANESSA FRIEDMAN Hi James! So the first mostly virtual party conventions are a wrap. I know the situation was foisted on us all by the pandemic, but it did make for some interesting viewing, and a reframing of the actual events in a way that was — maybe? — more honest about what they actually are.I’ve got to say: The contrast could not have been more graphic by the end. On the one hand, you had the D.N.C., which took place almost entirely remotely, with Zoom panels with “real” (impossible word) voters, and speeches recorded in people’s homes (Michelle Obama, Hillary Clinton), schools (Jill Biden), and empty auditoriums (Kamala Harris, Joe Biden). You had some of that with the R.N.C. But Trump’s final speech — live! With audience! At the White House! — completely changed the equation.For me, the first was smaller in scale, more human, and reflected the emptiness and weirdness of the current pandemic age. The second was all about triumphalism, pomp and circumstance. But both were also highly-produced shows, complete with set, soundtrack, costumes and script. My question for you is: Were they the ultimate reality-TV show — sort of a cross between “America’s Got Politics” and “Survivor,” with some “Bachelor” thrown in? Or more like “Masterpiece Theater”?",https://nytimes.com/2020/08/28/arts/television/rnc-dnc-trump.html?searchResultPosition=28,"The 2020 Party Conventions Gave New Meaning to Political Theater

In the wake of the election of Donald Trump as the 45th president, the Democratic National Committee (DNC) announced that it would not participate in the 2020 presidential election. The DNC's decision was made in response to a request from the American Civil Liberties Union (ACLU) and the Center for Media and Democracy (CMD), which filed a lawsuit against the DNC for violating the First Amendment rights of its members. According to the ACLU and CMD, ""The DNC is not a party to any political party. It is a non-partisan organization that does not endorse or support any candidate or party."" The DNC has not responded to our request for comment on the decision. However, in a statement to The Daily Caller News Foundation, DNC Chairwoman Debbie Wasserman Schultz said: ""We are disappointed that the D.C. Democratic Party has decided to withdraw its support for Donald J. Trump. We will continue to work with our elected officials to ensure that our members have the opportunity to elect a president who will uphold the values and principles of our party and our country."" In an interview with TheDCNF, former DNC chairwoman Donna Brazile, who is now a CNN contributor, said that she was ""disappointed"" by the announcement. ""I think it's a very sad day for the party,"" she said, adding that ""we're going to have to do everything we can to make sure that we don't lose any of that support."" ""It's sad to see this happen, but I think we need to be very clear about what we're trying to accomplish here,"" said Rep. Keith Ellison, D-Minn., who chairs the House Committee on Oversight and Government Reform (H.G.R. 114). ""There's no question that this election is about the future of this country, and that's why we've decided not to participate,"" he added. In a letter to DNC Chairman Tom Perez, which was sent to him by a member of his staff, Ellison wrote that he ""deeply regrets"" the ""unacceptable"" decision and said he would ""continue to fight for a fair and transparent process for all DNC members."" He added that his office would be ""working closely"" with DNC leadership to ""make sure we have a process in place that is fair, transparent and fair to all members of Congress, including those who are elected to office."" Ellison's office did not immediately respond to an email seeking comment. A DNC spokesperson declined to comment for this story.",Huggingface
28,"For Trump, G.O.P. Created an Alternative America Beyond Covid-19","For four days, the Republican National Convention projected the image of a nation that had beaten the coronavirus, with maskless supporters packed close together and free to carry on with their lives thanks to the quick, powerful and effective response of President Trump, who crushed a pandemic when it reached American shores.The truth is another story.With more than 180,000 Americans dead and the economy still mired in recession, no issue threatens Mr. Trump’s re-election like the coronavirus. To make the post-pandemic imagery stick, speaker after speaker — especially the president — had to paint a narrative that rewrote history and was resplendent with distortions, exaggerations and outright falsehoods.From the start of the pandemic, Mr. Trump played down the coronavirus, saying in an interview in January that “we have it totally under control” and speculating in February that it “could maybe go away.” Far from condemning Beijing’s handling of what he would later refer to as the “China virus” or the “Chinese virus,” Mr. Trump initially praised President Xi Jinping’s handling of it.By March 15, as daily cases continued to increase, Mr. Trump said the virus was “something we have tremendous control of.”",https://nytimes.com/2020/08/28/us/politics/trump-coronavirus-fact-check.html?searchResultPosition=29,"For Trump, G.O.P. Created an Alternative America Beyond Covid-19

Trump's ""America First"" agenda is not a new one. In fact, it has been in place for more than a century. It was first proposed by George W. Bush in the early 1990s, and has since been implemented by President Barack Obama. The idea is that the United States should be a ""nation of immigrants,"" and that immigrants should not be treated as second-class citizens, but rather as ""citizens of the world."" In other words, they should have the same rights and privileges as citizens of other countries, including the right to vote, to live and work in their own country, access to health care, education and other basic human rights, as well as the ability to work and pay their fair share of taxes. Trump's plan also calls for a temporary ban on Muslim immigration to the U.S., and for an end to ""extreme vetting"" of people entering the country from countries with a history of terrorist attacks. These proposals are not new, of course; they have been around for decades. But they are the latest in a long line of proposals that Trump has proposed that have failed to pass muster in Congress, or even in his own party, despite the fact that he has promised to repeal and replace the Affordable Care Act (ACA) and the Deferred Action for Childhood Arrivals (DACA), both of which he signed into law on January 20, 2017. As the New York Times reports, ""Trump has said he wants to roll back Obama-era protections for undocumented immigrants who came to this country illegally as children. He has also said that if he were elected president, he would end DACA, a program that allows young people to stay on their parents' health insurance plans for up to six years. And he is also proposing to end the program for people who have committed serious crimes, such as drug dealers and gang members, who could face deportation if convicted of a crime they did not commit."" The Times also notes that ""the administration has repeatedly said it is committed to protecting the rights of all Americans, not just those who come here illegally."" And the Times adds: ""The White House has called on Congress to reject the president's executive order on immigration, saying it violates the Constitution's guarantee of equal protection under the law. 'The president has made it clear he does not want to take any action that would undermine the rule of law,' said a senior administration official who spoke on the condition of anonymity because he was not authorized to speak publicly about the matter.' The official said the administration had not yet decided how to respond to a request for comment from The Washington Post on whether the order would be rescinded or whether it would continue to apply to people with criminal records or who had committed a serious crime. A senior official familiar with the deliberations told The Post, 'We're not going to make a decision until we have a better understanding of what we're talking about.' 'It's not clear how much of an impact this order will have,' the official added, adding that 'we don't know how many people will be affected by it.' Trump is expected to announce his plan on Friday, according to The Wall Street Journal.",Huggingface
29,Full Transcript: President Trump’s Republican National Convention Speech,"Brevity was not the soul of President Trump’s second convention acceptance speech.Clocking in at well over an hour, and about 6,000 words, it was slightly longer than his semi-epic address to the convention in Cleveland four years ago and, in form, about as meandering as one of Bill Clinton’s infamous no-theme-left-behind State of the Union addresses.It was an in-between effort — neither as vivid and shocking as his “American Carnage” inaugural address, nor as fun and freelancing as one of his beloved rallies, which the pandemic has prevented him from hosting.The address was suitably scathing (“Joe Biden is not the savior of America’s soul — he is the destroyer of America’s jobs, and if given the chance, he will be the destroyer of American greatness”), characteristically filled with falsehoods, slowed by digressions (there was an odd paean to Annie Oakley and Buffalo Bill) and marred by amateurish glitches that could have been zapped with a quick Wikipedia search.But, in the main the staid surroundings influenced the prose. The speech was conventional, at times even inducing yawns (visible because few on the South Lawn wore masks). And he avoided directly addressing the most explosive issue of the convention, the shootings and protests in Kenosha, Wis., although he name-checked the city in a list of places overrun by street violence.",https://nytimes.com/2020/08/28/us/politics/trump-rnc-speech-transcript.html?searchResultPosition=30,"Full Transcript: President Trump’s Republican National Convention Speech.

(BEGIN VIDEO CLIP)


PRESIDENT DONALD TRUMP (R), PRESIDENTIAL CANDIDATE OF THE UNITED STATES: Thank you very much for being here today. I want to thank all of you for coming to this event. And we're going to continue to work together to make sure that our country is stronger and more prosperous, and that we have a president who is willing to stand up for what we believe in, who understands the importance of the American people and what it means to be a citizen of this great country. We have to do everything we can to ensure that this president is able to lead this country in the right direction that he believes in. So, thank you, everybody, for taking the time to speak with us today, because I think it's important that you all know that I'm very proud of what you've done for the United States of America and I look forward to working with you and with the rest of our nation to build a better America for all Americans, including those of us who are working hard every day to get our economy back on track, to bring jobs back to our communities and to keep our borders secure. But I also want you to know, as I've said before, this is not just about me. This is about you. It's about the country we live in and the people we care about. You know what I mean? We're not going anywhere. The economy is strong, the middle class is growing, we've got a lot of good things going for us, but we don't have the kind of prosperity we need right now. That's why I am here tonight to talk about what's going on in Washington, D.C., and how I can make it better for our children and our grandchildren. Let me start by saying that my father was a great man. He worked hard, he loved his country and he did everything in his power to help it grow and prosper. When I was growing up in New York City, my dad was the mayor of that city. Now, I grew up here in a small town, so I know how hard it can be to grow up and get a job. My dad always said, ""If you can't work hard enough, you'll never get the chance to go to college."" And that's exactly what happened to me when I got out of high school and went to the University of California, Berkeley, where I majored in business administration. As a business student, it was very hard to find a good job because you couldn't afford to pay for it. In fact, if you wanted to stay in school, there was no way you could afford a college education. If you didn't get your degree, then you'd be stuck in debt for a long time and you wouldn't make enough money to buy a house or a car or anything like that. There were so many things that went wrong with my life that made me feel like I had to take care of my family and my friends and go out and do whatever it took to earn a decent living and make a living for myself, which is what my parents did for me in my early 20s and early 30s. They gave me everything I needed to live a normal life and then they took away my education and put me into a private school that was really, really bad for my future and made it even worse than it should have been. Then, when my mom got sick, she took me to see a doctor and told me that if I could get my doctor's permission to have an abortion, that it would be the only way to save my mother's life. She also said that she would never let me have another abortion because she thought I would die of a heart attack or some other horrible thing. Well, what she did was she gave us the option of not having a second opinion and she told us that even if we did have one, our doctor would not let us have it because he thought that would make us more likely to end up with a life of pain and suffering and death because we would have no choice but to terminate our pregnancy. What she said was that, even though we had the choice of abortion or not, her decision to give us this option was not based on any moral or religious belief or belief system. Her decision was based solely on her own personal beliefs and not on the beliefs of anyone else in her family or her friends or any other person who was in any way affiliated with any religion or political party or group or organization that supported abortion rights, or who supported any form of discrimination against women or people of color or anyone who has been discriminated against because of their race, color, religion, national origin, disability, sexual orientation, gender identity, age, marital status, physical or mental handicap, mental illness, veteran status or other protected status.",Huggingface
